name,Bus Generic
algFile,default.js
name,path,type,isDataItemValue,isDrillDown
Country,country,TEXT,false,false
Distance Km Per Month,distanceKmPerMonth,DECIMAL,false,false
kgCO2 Per Passenger Km,kgCO2PerKmPassenger,DECIMAL,true,false
kgCO2 Per Passenger Km IE,kgCO2PerPassengerKmIE,DECIMAL,true,false
Source,source,TEXT,true,false
Type,type,TEXT,true,true
Number of journeys,numberOfJourneys,DECIMAL,false,false
Journey frequency,journeyFrequency,TEXT,false,false
Is return,isReturn,TEXT,false,false
Distance per journey,distancePerJourney,DECIMAL,false,false
Typical journey distance,typicalJourneyDistance,DECIMAL,true,false
Use typical distance,useTypicalDistance,TEXT,false,false
Number of passengers,numberOfPassengers,DECIMAL,false,false
